aX,aY,aZ,gX,gY,gZ
0.46,0.45,0.49,0.53,0.51,0.36
0.44,0.44,0.50,0.52,0.51,0.37
0.41,0.44,0.50,0.52,0.51,0.37
0.39,0.44,0.51,0.51,0.51,0.37
0.39,0.44,0.51,0.51,0.51,0.37
0.36,0.45,0.51,0.51,0.50,0.38
0.33,0.45,0.53,0.50,0.49,0.39
0.31,0.46,0.54,0.50,0.49,0.40
0.30,0.46,0.55,0.50,0.49,0.41
0.28,0.46,0.55,0.50,0.49,0.43
0.28,0.46,0.55,0.50,0.49,0.43
0.28,0.46,0.55,0.50,0.49,0.45
0.28,0.46,0.55,0.50,0.49,0.46
0.28,0.46,0.54,0.50,0.49,0.48
0.29,0.46,0.53,0.50,0.49,0.50
0.30,0.46,0.52,0.50,0.49,0.51
0.30,0.46,0.52,0.50,0.49,0.51
0.32,0.46,0.52,0.49,0.49,0.52
0.34,0.46,0.52,0.49,0.48,0.53
0.36,0.46,0.52,0.49,0.48,0.54
0.38,0.46,0.52,0.48,0.48,0.55
0.40,0.46,0.53,0.48,0.48,0.55
0.40,0.46,0.53,0.48,0.47,0.56
0.42,0.46,0.53,0.48,0.47,0.56
0.44,0.46,0.54,0.48,0.47,0.57
0.46,0.47,0.55,0.48,0.47,0.57
0.47,0.47,0.56,0.48,0.48,0.57
0.49,0.47,0.57,0.48,0.48,0.57
0.49,0.47,0.57,0.48,0.48,0.57
0.51,0.48,0.58,0.48,0.48,0.57
0.52,0.48,0.58,0.48,0.48,0.57
0.52,0.49,0.58,0.48,0.48,0.56
0.53,0.49,0.58,0.49,0.48,0.56
0.53,0.50,0.58,0.49,0.48,0.56
0.53,0.50,0.58,0.49,0.48,0.55
0.52,0.50,0.58,0.49,0.48,0.55
0.52,0.51,0.57,0.50,0.49,0.54
0.51,0.51,0.56,0.50,0.49,0.54
0.51,0.51,0.56,0.50,0.49,0.53
0.51,0.52,0.55,0.50,0.49,0.53
0.51,0.52,0.55,0.50,0.49,0.53
0.50,0.52,0.55,0.50,0.49,0.53
0.50,0.52,0.55,0.50,0.49,0.53
0.50,0.52,0.55,0.50,0.49,0.53
0.50,0.52,0.55,0.49,0.49,0.53
0.50,0.52,0.55,0.49,0.49,0.53
0.50,0.52,0.55,0.49,0.49,0.53
0.50,0.52,0.55,0.49,0.49,0.53
0.50,0.52,0.56,0.49,0.49,0.53
0.50,0.52,0.56,0.49,0.49,0.53
0.51,0.52,0.56,0.49,0.49,0.53
0.51,0.52,0.56,0.49,0.49,0.53
0.51,0.52,0.57,0.49,0.49,0.53
0.51,0.52,0.57,0.49,0.49,0.53
0.51,0.51,0.57,0.49,0.49,0.53
0.52,0.51,0.57,0.49,0.49,0.53
0.52,0.51,0.58,0.49,0.49,0.52
0.52,0.51,0.58,0.49,0.49,0.52
0.52,0.51,0.58,0.49,0.49,0.52
0.52,0.51,0.58,0.49,0.49,0.52
0.52,0.51,0.58,0.49,0.49,0.52

0.64,0.52,0.62,0.50,0.50,0.52
0.68,0.51,0.63,0.51,0.51,0.51
0.72,0.50,0.63,0.52,0.52,0.50
0.76,0.50,0.63,0.52,0.53,0.49
0.78,0.49,0.62,0.52,0.53,0.49
0.78,0.49,0.62,0.53,0.53,0.46
0.78,0.47,0.61,0.54,0.53,0.43
0.75,0.44,0.60,0.55,0.52,0.40
0.71,0.42,0.58,0.55,0.51,0.37
0.65,0.40,0.57,0.55,0.52,0.35
0.61,0.38,0.57,0.55,0.52,0.35
0.61,0.38,0.57,0.55,0.52,0.34
0.57,0.37,0.57,0.56,0.52,0.33
0.54,0.37,0.56,0.56,0.53,0.33
0.51,0.37,0.55,0.56,0.53,0.32
0.48,0.37,0.54,0.56,0.52,0.32
0.48,0.37,0.54,0.56,0.52,0.32
0.45,0.37,0.53,0.56,0.52,0.32
0.41,0.38,0.52,0.56,0.52,0.32
0.37,0.39,0.51,0.56,0.52,0.33
0.33,0.40,0.50,0.56,0.52,0.33
0.29,0.42,0.48,0.55,0.52,0.35
0.29,0.42,0.48,0.55,0.52,0.35
0.26,0.44,0.47,0.55,0.53,0.36
0.23,0.46,0.46,0.54,0.53,0.39
0.22,0.47,0.46,0.53,0.52,0.41
0.22,0.48,0.46,0.52,0.51,0.44
0.24,0.48,0.47,0.51,0.50,0.46
0.24,0.48,0.47,0.51,0.50,0.46
0.27,0.48,0.48,0.50,0.50,0.49
0.31,0.48,0.50,0.50,0.49,0.50
0.34,0.48,0.51,0.49,0.49,0.52
0.37,0.48,0.52,0.49,0.49,0.53
0.39,0.48,0.52,0.49,0.48,0.53
0.39,0.48,0.52,0.49,0.48,0.53
0.41,0.48,0.53,0.49,0.48,0.54
0.43,0.48,0.54,0.48,0.48,0.54
0.45,0.48,0.54,0.48,0.48,0.54
0.46,0.48,0.55,0.48,0.48,0.55
0.47,0.49,0.55,0.48,0.48,0.55
0.47,0.49,0.55,0.48,0.48,0.55
0.48,0.49,0.56,0.48,0.48,0.55
0.49,0.49,0.56,0.48,0.48,0.54
0.49,0.49,0.56,0.48,0.48,0.54
0.49,0.50,0.56,0.48,0.48,0.54
0.49,0.50,0.56,0.48,0.48,0.54
0.49,0.50,0.56,0.48,0.48,0.54
0.49,0.50,0.56,0.49,0.48,0.53
0.48,0.50,0.55,0.49,0.48,0.53
0.48,0.50,0.55,0.49,0.48,0.53
0.47,0.51,0.55,0.49,0.48,0.53
0.47,0.51,0.55,0.49,0.49,0.53
0.47,0.51,0.55,0.49,0.49,0.53
0.47,0.51,0.55,0.49,0.49,0.53
0.47,0.51,0.55,0.49,0.49,0.53
0.48,0.51,0.55,0.49,0.49,0.53
0.48,0.51,0.56,0.49,0.49,0.53
0.48,0.51,0.56,0.49,0.49,0.53
0.48,0.51,0.56,0.49,0.49,0.53
0.49,0.51,0.56,0.49,0.49,0.53
0.49,0.51,0.56,0.49,0.49,0.53
0.49,0.51,0.56,0.49,0.49,0.53
0.49,0.51,0.56,0.49,0.49,0.53
0.49,0.51,0.56,0.49,0.49,0.53
0.49,0.51,0.56,0.49,0.49,0.53
0.48,0.51,0.56,0.49,0.49,0.53
0.48,0.51,0.56,0.49,0.49,0.53
0.48,0.51,0.56,0.49,0.49,0.53
0.48,0.51,0.56,0.49,0.49,0.53
0.49,0.51,0.56,0.49,0.49,0.53
0.49,0.51,0.56,0.49,0.49,0.53
0.49,0.51,0.56,0.49,0.49,0.53
0.49,0.51,0.56,0.49,0.49,0.53
0.49,0.51,0.56,0.49,0.49,0.53
0.50,0.52,0.56,0.49,0.49,0.53
0.50,0.51,0.57,0.49,0.49,0.53
0.50,0.51,0.57,0.49,0.49,0.53
0.50,0.51,0.57,0.49,0.49,0.53
0.50,0.51,0.57,0.49,0.50,0.53
0.50,0.51,0.57,0.49,0.50,0.53

0.56,0.51,0.62,0.51,0.49,0.48
0.57,0.51,0.61,0.52,0.49,0.48
0.58,0.51,0.61,0.52,0.50,0.47
0.58,0.51,0.60,0.53,0.50,0.46
0.59,0.51,0.59,0.53,0.50,0.45
0.59,0.51,0.59,0.53,0.50,0.45
0.58,0.50,0.57,0.54,0.49,0.44
0.58,0.50,0.56,0.54,0.49,0.43
0.57,0.49,0.56,0.54,0.48,0.42
0.56,0.49,0.55,0.53,0.48,0.42
0.54,0.49,0.55,0.53,0.48,0.41
0.54,0.49,0.55,0.53,0.48,0.41
0.52,0.49,0.54,0.53,0.49,0.40
0.50,0.48,0.54,0.53,0.50,0.40
0.47,0.48,0.53,0.53,0.50,0.40
0.44,0.49,0.53,0.52,0.51,0.41
0.42,0.49,0.52,0.52,0.51,0.41
0.42,0.49,0.52,0.52,0.51,0.41
0.40,0.49,0.52,0.52,0.51,0.42
0.39,0.50,0.52,0.51,0.51,0.43
0.37,0.50,0.52,0.51,0.51,0.44
0.36,0.50,0.53,0.51,0.51,0.45
0.36,0.50,0.54,0.50,0.50,0.46
0.36,0.50,0.54,0.50,0.50,0.46
0.37,0.50,0.55,0.50,0.49,0.47
0.37,0.50,0.55,0.50,0.49,0.48
0.38,0.50,0.56,0.50,0.49,0.49
0.39,0.50,0.56,0.50,0.49,0.50
0.40,0.50,0.55,0.50,0.49,0.51
0.40,0.50,0.55,0.50,0.49,0.51
0.41,0.50,0.55,0.50,0.49,0.51
0.42,0.50,0.55,0.50,0.49,0.52
0.43,0.49,0.55,0.50,0.49,0.52
0.44,0.50,0.56,0.50,0.49,0.53
0.45,0.50,0.56,0.50,0.49,0.53
0.45,0.50,0.56,0.49,0.49,0.53
0.47,0.50,0.57,0.49,0.49,0.53
0.48,0.50,0.57,0.49,0.49,0.53
0.48,0.50,0.57,0.49,0.49,0.53
0.49,0.50,0.57,0.50,0.48,0.53
0.49,0.51,0.56,0.50,0.48,0.53
0.49,0.51,0.56,0.50,0.49,0.53
0.49,0.51,0.56,0.50,0.49,0.53
0.49,0.51,0.56,0.50,0.49,0.53
0.49,0.51,0.56,0.50,0.49,0.53
0.48,0.51,0.55,0.50,0.49,0.53
0.48,0.52,0.55,0.50,0.49,0.53
0.48,0.52,0.55,0.50,0.49,0.53
0.48,0.52,0.55,0.50,0.49,0.53
0.48,0.52,0.55,0.50,0.49,0.53
0.48,0.52,0.55,0.49,0.49,0.53
0.48,0.52,0.55,0.49,0.49,0.53
0.49,0.52,0.55,0.49,0.49,0.53
0.49,0.52,0.55,0.49,0.49,0.53
0.49,0.51,0.56,0.49,0.50,0.53
0.49,0.51,0.56,0.49,0.50,0.53
0.50,0.51,0.56,0.49,0.50,0.53
0.50,0.51,0.56,0.49,0.49,0.53
0.50,0.51,0.56,0.49,0.49,0.53
0.50,0.51,0.56,0.49,0.49,0.53
0.51,0.52,0.56,0.49,0.49,0.53
0.51,0.51,0.56,0.49,0.49,0.53
0.51,0.51,0.57,0.49,0.49,0.53
0.51,0.51,0.57,0.49,0.49,0.53
0.51,0.51,0.57,0.49,0.49,0.53
0.51,0.51,0.56,0.49,0.49,0.53
0.51,0.51,0.57,0.49,0.49,0.52
0.51,0.51,0.57,0.49,0.49,0.52
0.51,0.51,0.57,0.49,0.49,0.52
0.51,0.51,0.57,0.49,0.49,0.52
0.51,0.51,0.57,0.49,0.49,0.52
0.51,0.51,0.57,0.49,0.50,0.52
0.51,0.51,0.57,0.49,0.50,0.52
0.51,0.51,0.57,0.49,0.50,0.52
0.51,0.51,0.57,0.49,0.50,0.52
0.51,0.51,0.57,0.49,0.50,0.52
0.51,0.51,0.57,0.49,0.50,0.52
0.52,0.51,0.57,0.49,0.50,0.52
0.51,0.51,0.57,0.49,0.50,0.52
0.52,0.51,0.57,0.49,0.49,0.52

0.61,0.52,0.60,0.50,0.50,0.50
0.64,0.52,0.61,0.51,0.50,0.49
0.67,0.52,0.62,0.51,0.49,0.48
0.69,0.51,0.62,0.52,0.49,0.47
0.71,0.49,0.62,0.52,0.49,0.47
0.71,0.49,0.62,0.52,0.48,0.45
0.71,0.47,0.62,0.53,0.48,0.43
0.70,0.45,0.61,0.53,0.48,0.41
0.66,0.45,0.60,0.53,0.50,0.38
0.61,0.44,0.58,0.54,0.51,0.37
0.56,0.43,0.57,0.54,0.51,0.37
0.56,0.43,0.57,0.54,0.52,0.36
0.52,0.43,0.55,0.54,0.53,0.35
0.48,0.43,0.54,0.54,0.52,0.35
0.45,0.44,0.53,0.54,0.52,0.35
0.43,0.44,0.53,0.54,0.51,0.36
0.43,0.44,0.53,0.54,0.51,0.36
0.40,0.44,0.53,0.53,0.51,0.36
0.37,0.45,0.54,0.53,0.50,0.37
0.34,0.45,0.54,0.53,0.50,0.38
0.31,0.46,0.55,0.53,0.51,0.40
0.29,0.47,0.55,0.52,0.51,0.41
0.29,0.47,0.55,0.52,0.51,0.41
0.28,0.47,0.54,0.52,0.51,0.43
0.27,0.48,0.54,0.52,0.51,0.45
0.28,0.48,0.54,0.52,0.51,0.47
0.31,0.48,0.54,0.52,0.50,0.49
0.34,0.48,0.54,0.51,0.50,0.51
0.34,0.48,0.54,0.51,0.50,0.51
0.36,0.48,0.54,0.51,0.50,0.52
0.39,0.48,0.54,0.51,0.50,0.53
0.40,0.48,0.53,0.50,0.50,0.53
0.41,0.48,0.53,0.50,0.50,0.54
0.43,0.49,0.53,0.50,0.49,0.54
0.43,0.49,0.53,0.50,0.49,0.54
0.44,0.49,0.53,0.50,0.49,0.54
0.46,0.49,0.54,0.50,0.49,0.55
0.47,0.49,0.54,0.50,0.49,0.55
0.48,0.50,0.54,0.50,0.49,0.55
0.49,0.50,0.54,0.49,0.49,0.55
0.49,0.50,0.54,0.49,0.49,0.55
0.49,0.50,0.54,0.49,0.49,0.55
0.49,0.51,0.54,0.49,0.49,0.54
0.49,0.51,0.54,0.49,0.49,0.54
0.49,0.51,0.54,0.49,0.49,0.54
0.49,0.51,0.54,0.49,0.49,0.54
0.49,0.51,0.54,0.49,0.49,0.54
0.48,0.51,0.54,0.49,0.49,0.54
0.49,0.51,0.54,0.49,0.50,0.54
0.49,0.51,0.54,0.48,0.50,0.54
0.49,0.51,0.55,0.48,0.50,0.54
0.49,0.51,0.55,0.48,0.50,0.54
0.49,0.51,0.55,0.48,0.50,0.54
0.50,0.51,0.56,0.48,0.49,0.54
0.50,0.51,0.56,0.48,0.49,0.54
0.51,0.51,0.56,0.48,0.49,0.54
0.51,0.51,0.56,0.48,0.49,0.54
0.51,0.51,0.56,0.48,0.49,0.54
0.51,0.51,0.56,0.48,0.49,0.54
0.52,0.52,0.56,0.49,0.49,0.54
0.52,0.52,0.56,0.49,0.49,0.53
0.52,0.52,0.56,0.49,0.49,0.53
0.52,0.52,0.56,0.49,0.49,0.53
0.51,0.51,0.56,0.49,0.49,0.53
0.51,0.51,0.56,0.49,0.49,0.53
0.51,0.52,0.56,0.49,0.50,0.53
0.51,0.52,0.57,0.49,0.50,0.53
0.51,0.52,0.56,0.48,0.50,0.53
0.51,0.52,0.57,0.48,0.50,0.53
0.51,0.51,0.57,0.48,0.50,0.52
0.51,0.51,0.57,0.48,0.50,0.52
0.51,0.51,0.57,0.48,0.50,0.52
0.51,0.51,0.57,0.48,0.50,0.52
0.50,0.51,0.57,0.48,0.50,0.52
0.50,0.51,0.57,0.49,0.50,0.52
0.50,0.51,0.57,0.49,0.50,0.52
0.50,0.51,0.57,0.49,0.50,0.52
0.50,0.51,0.57,0.49,0.50,0.52
0.50,0.51,0.57,0.49,0.49,0.52
0.50,0.51,0.57,0.49,0.49,0.52

0.59,0.52,0.59,0.50,0.51,0.49
0.62,0.51,0.60,0.50,0.50,0.48
0.64,0.50,0.61,0.51,0.50,0.47
0.65,0.50,0.61,0.51,0.50,0.46
0.66,0.49,0.62,0.51,0.49,0.44
0.66,0.49,0.62,0.51,0.49,0.44
0.65,0.47,0.62,0.52,0.49,0.43
0.62,0.46,0.61,0.52,0.50,0.41
0.58,0.45,0.60,0.53,0.51,0.39
0.53,0.45,0.58,0.53,0.52,0.39
0.50,0.45,0.57,0.54,0.52,0.38
0.50,0.45,0.57,0.54,0.52,0.38
0.47,0.45,0.56,0.54,0.52,0.38
0.45,0.45,0.54,0.54,0.52,0.39
0.43,0.46,0.53,0.54,0.51,0.39
0.41,0.46,0.52,0.53,0.51,0.40
0.38,0.47,0.52,0.53,0.51,0.40
0.38,0.47,0.52,0.53,0.51,0.40
0.36,0.47,0.52,0.53,0.51,0.41
0.35,0.48,0.52,0.52,0.51,0.42
0.34,0.48,0.53,0.52,0.50,0.43
0.33,0.49,0.53,0.51,0.50,0.45
0.33,0.49,0.54,0.51,0.50,0.45
0.33,0.49,0.54,0.51,0.50,0.46
0.34,0.49,0.54,0.51,0.50,0.47
0.36,0.49,0.55,0.51,0.50,0.49
0.37,0.49,0.55,0.51,0.50,0.50
0.39,0.49,0.55,0.50,0.50,0.50
0.41,0.49,0.55,0.50,0.50,0.50
0.41,0.49,0.55,0.50,0.50,0.51
0.42,0.49,0.55,0.51,0.49,0.52
0.43,0.49,0.55,0.50,0.49,0.52
0.43,0.49,0.55,0.50,0.49,0.52
0.44,0.49,0.54,0.50,0.49,0.52
0.45,0.49,0.55,0.50,0.49,0.52
0.45,0.49,0.55,0.50,0.49,0.52
0.45,0.50,0.55,0.50,0.49,0.53
0.46,0.50,0.55,0.50,0.49,0.53
0.46,0.50,0.55,0.50,0.49,0.53
0.47,0.50,0.55,0.50,0.49,0.53
0.47,0.50,0.55,0.50,0.49,0.53
0.47,0.50,0.55,0.50,0.49,0.53
0.47,0.50,0.55,0.50,0.49,0.53
0.47,0.51,0.54,0.50,0.49,0.53
0.47,0.51,0.54,0.50,0.49,0.53
0.47,0.51,0.54,0.50,0.49,0.53
0.47,0.51,0.54,0.50,0.49,0.53
0.47,0.51,0.54,0.49,0.49,0.53
0.47,0.51,0.54,0.49,0.49,0.53
0.47,0.51,0.54,0.49,0.49,0.54
0.47,0.51,0.54,0.49,0.49,0.54
0.47,0.51,0.54,0.49,0.49,0.54
0.47,0.51,0.54,0.49,0.49,0.54
0.47,0.51,0.54,0.49,0.49,0.54
0.47,0.50,0.55,0.49,0.49,0.54
0.48,0.50,0.55,0.49,0.49,0.54
0.48,0.50,0.55,0.49,0.48,0.54
0.49,0.50,0.55,0.49,0.49,0.55
0.49,0.50,0.55,0.49,0.49,0.55
0.49,0.50,0.56,0.48,0.49,0.55
0.50,0.50,0.56,0.48,0.49,0.55
0.50,0.50,0.56,0.48,0.48,0.55
0.51,0.50,0.56,0.48,0.48,0.55
0.51,0.50,0.57,0.48,0.48,0.55
0.51,0.50,0.57,0.48,0.48,0.55
0.52,0.50,0.57,0.48,0.48,0.54
0.52,0.51,0.57,0.49,0.49,0.54
0.52,0.51,0.57,0.49,0.49,0.54
0.52,0.51,0.57,0.49,0.49,0.54
0.52,0.51,0.57,0.49,0.49,0.54
0.52,0.51,0.57,0.49,0.49,0.54
0.52,0.51,0.57,0.49,0.49,0.53
0.53,0.51,0.57,0.49,0.49,0.53
0.53,0.51,0.57,0.49,0.49,0.53
0.53,0.51,0.58,0.49,0.49,0.53
0.53,0.51,0.58,0.49,0.49,0.53
0.53,0.51,0.58,0.49,0.49,0.53
0.53,0.51,0.58,0.49,0.49,0.52
0.53,0.51,0.58,0.49,0.49,0.52
0.53,0.51,0.58,0.49,0.49,0.52

0.57,0.51,0.56,0.50,0.49,0.50
0.58,0.51,0.56,0.49,0.49,0.50
0.59,0.51,0.57,0.49,0.49,0.50
0.60,0.51,0.58,0.49,0.49,0.49
0.61,0.50,0.59,0.49,0.50,0.48
0.61,0.50,0.59,0.49,0.50,0.48
0.62,0.50,0.60,0.49,0.50,0.47
0.63,0.50,0.60,0.50,0.50,0.46
0.64,0.50,0.61,0.50,0.49,0.45
0.66,0.49,0.62,0.50,0.49,0.44
0.66,0.47,0.63,0.51,0.49,0.43
0.66,0.47,0.63,0.51,0.49,0.43
0.66,0.45,0.62,0.52,0.49,0.41
0.64,0.44,0.62,0.52,0.50,0.39
0.61,0.43,0.61,0.53,0.50,0.38
0.57,0.41,0.60,0.53,0.51,0.37
0.54,0.40,0.59,0.54,0.51,0.36
0.54,0.40,0.59,0.54,0.51,0.36
0.51,0.40,0.58,0.54,0.51,0.35
0.48,0.40,0.56,0.54,0.52,0.35
0.45,0.41,0.55,0.55,0.52,0.35
0.43,0.42,0.54,0.55,0.52,0.35
0.41,0.43,0.53,0.55,0.52,0.35
0.41,0.43,0.53,0.54,0.52,0.36
0.39,0.44,0.52,0.54,0.52,0.37
0.37,0.45,0.52,0.54,0.52,0.38
0.36,0.45,0.52,0.54,0.51,0.39
0.36,0.46,0.52,0.53,0.51,0.40
0.36,0.46,0.52,0.53,0.51,0.40
0.36,0.46,0.52,0.53,0.50,0.41
0.36,0.47,0.53,0.53,0.50,0.42
0.36,0.48,0.53,0.52,0.50,0.43
0.36,0.48,0.53,0.52,0.50,0.45
0.36,0.49,0.53,0.52,0.50,0.46
0.37,0.49,0.53,0.52,0.50,0.46
0.37,0.49,0.53,0.51,0.50,0.47
0.38,0.49,0.53,0.51,0.50,0.48
0.40,0.49,0.53,0.51,0.50,0.49
0.41,0.49,0.53,0.51,0.49,0.50
0.42,0.49,0.53,0.51,0.49,0.50
0.43,0.49,0.53,0.51,0.49,0.50
0.43,0.49,0.53,0.51,0.49,0.51
0.44,0.49,0.53,0.50,0.49,0.51
0.44,0.50,0.53,0.50,0.49,0.51
0.45,0.50,0.53,0.50,0.49,0.52
0.45,0.50,0.54,0.50,0.49,0.52
0.46,0.50,0.54,0.50,0.49,0.52
0.46,0.50,0.54,0.50,0.49,0.52
0.46,0.50,0.54,0.50,0.49,0.52
0.46,0.50,0.54,0.49,0.49,0.52
0.46,0.50,0.55,0.49,0.49,0.52
0.47,0.50,0.55,0.49,0.49,0.52
0.47,0.50,0.55,0.49,0.49,0.52
0.47,0.50,0.55,0.49,0.49,0.52
0.47,0.50,0.55,0.49,0.49,0.53
0.47,0.50,0.55,0.49,0.49,0.53
0.47,0.51,0.55,0.49,0.49,0.53
0.47,0.51,0.55,0.49,0.50,0.53
0.47,0.51,0.55,0.49,0.50,0.53
0.47,0.51,0.55,0.49,0.50,0.53
0.47,0.51,0.55,0.49,0.50,0.53
0.47,0.51,0.55,0.49,0.49,0.53
0.47,0.51,0.56,0.49,0.49,0.53
0.47,0.51,0.55,0.49,0.49,0.53
0.47,0.51,0.55,0.49,0.49,0.53
0.47,0.51,0.55,0.49,0.49,0.53
0.47,0.51,0.56,0.49,0.49,0.53
0.47,0.51,0.55,0.49,0.50,0.53
0.47,0.51,0.56,0.49,0.50,0.53
0.47,0.51,0.55,0.49,0.50,0.54
0.47,0.51,0.55,0.49,0.50,0.54
0.47,0.51,0.56,0.49,0.50,0.54
0.48,0.51,0.55,0.49,0.50,0.54
0.48,0.51,0.55,0.49,0.50,0.54
0.48,0.51,0.56,0.49,0.50,0.54
0.48,0.51,0.55,0.49,0.50,0.54
0.48,0.51,0.55,0.49,0.50,0.54
0.48,0.51,0.55,0.49,0.50,0.54
0.48,0.51,0.56,0.49,0.50,0.54
0.48,0.51,0.55,0.49,0.50,0.54

0.56,0.51,0.59,0.50,0.49,0.52
0.57,0.51,0.60,0.50,0.49,0.52
0.58,0.51,0.61,0.50,0.49,0.51
0.60,0.51,0.62,0.50,0.49,0.51
0.62,0.51,0.63,0.50,0.49,0.51
0.62,0.51,0.63,0.50,0.49,0.51
0.65,0.51,0.65,0.51,0.48,0.50
0.69,0.50,0.67,0.51,0.48,0.49
0.72,0.49,0.68,0.52,0.49,0.48
0.75,0.48,0.68,0.53,0.49,0.46
0.75,0.46,0.66,0.55,0.50,0.44
0.75,0.46,0.66,0.55,0.50,0.44
0.74,0.43,0.64,0.56,0.51,0.41
0.71,0.41,0.62,0.57,0.51,0.38
0.67,0.39,0.59,0.57,0.51,0.36
0.62,0.38,0.57,0.58,0.51,0.34
0.58,0.36,0.56,0.58,0.52,0.33
0.58,0.36,0.56,0.58,0.52,0.33
0.54,0.36,0.55,0.58,0.52,0.32
0.50,0.36,0.54,0.58,0.51,0.32
0.48,0.36,0.53,0.58,0.50,0.32
0.46,0.37,0.52,0.57,0.50,0.32
0.43,0.38,0.51,0.57,0.50,0.32
0.43,0.38,0.51,0.57,0.50,0.32
0.41,0.39,0.51,0.57,0.51,0.32
0.38,0.41,0.50,0.56,0.51,0.33
0.36,0.42,0.49,0.56,0.51,0.34
0.35,0.43,0.49,0.56,0.52,0.35
0.34,0.44,0.48,0.55,0.51,0.37
0.34,0.44,0.48,0.55,0.51,0.37
0.33,0.45,0.48,0.55,0.50,0.38
0.33,0.46,0.48,0.54,0.49,0.40
0.33,0.47,0.48,0.54,0.49,0.41
0.33,0.48,0.48,0.53,0.49,0.43
0.33,0.48,0.48,0.52,0.49,0.44
0.33,0.48,0.48,0.52,0.49,0.44
0.34,0.48,0.49,0.51,0.49,0.46
0.35,0.48,0.49,0.51,0.49,0.47
0.36,0.49,0.50,0.50,0.49,0.48
0.38,0.49,0.50,0.50,0.49,0.49
0.39,0.49,0.51,0.49,0.49,0.50
0.39,0.49,0.51,0.49,0.49,0.50
0.40,0.49,0.51,0.49,0.49,0.51
0.41,0.49,0.52,0.49,0.49,0.51
0.42,0.49,0.52,0.49,0.49,0.52
0.43,0.49,0.53,0.49,0.49,0.52
0.44,0.49,0.53,0.49,0.48,0.52
0.44,0.49,0.53,0.49,0.48,0.52
0.44,0.49,0.54,0.48,0.48,0.52
0.45,0.49,0.54,0.48,0.49,0.53
0.45,0.49,0.54,0.48,0.49,0.53
0.45,0.49,0.54,0.48,0.49,0.53
0.45,0.50,0.54,0.48,0.49,0.53
0.45,0.50,0.54,0.48,0.49,0.53
0.45,0.50,0.54,0.48,0.49,0.53
0.45,0.50,0.54,0.48,0.49,0.53
0.45,0.50,0.54,0.48,0.49,0.53
0.46,0.50,0.54,0.48,0.49,0.53
0.45,0.50,0.54,0.48,0.49,0.53
0.45,0.50,0.54,0.48,0.49,0.53
0.45,0.50,0.54,0.48,0.49,0.54
0.45,0.50,0.54,0.48,0.49,0.54
0.45,0.50,0.54,0.48,0.49,0.54
0.45,0.51,0.54,0.48,0.49,0.54
0.45,0.51,0.54,0.48,0.49,0.54
0.45,0.51,0.54,0.48,0.49,0.54
0.45,0.50,0.53,0.48,0.49,0.54
0.45,0.50,0.53,0.48,0.49,0.54
0.45,0.50,0.53,0.48,0.49,0.55
0.45,0.50,0.53,0.48,0.49,0.55
0.46,0.50,0.53,0.47,0.49,0.55
0.46,0.50,0.53,0.47,0.49,0.55
0.46,0.50,0.54,0.47,0.49,0.56
0.46,0.50,0.54,0.47,0.49,0.56
0.46,0.50,0.54,0.47,0.50,0.56
0.47,0.50,0.54,0.47,0.50,0.56
0.47,0.50,0.55,0.47,0.50,0.56
0.47,0.50,0.55,0.47,0.50,0.56
0.47,0.50,0.55,0.46,0.49,0.56
0.48,0.50,0.55,0.46,0.49,0.56

0.54,0.50,0.68,0.50,0.55,0.51
0.55,0.50,0.70,0.51,0.54,0.50
0.56,0.49,0.71,0.52,0.54,0.50
0.58,0.49,0.71,0.54,0.53,0.49
0.58,0.48,0.70,0.55,0.53,0.48
0.58,0.48,0.70,0.55,0.53,0.48
0.58,0.47,0.69,0.57,0.54,0.47
0.58,0.46,0.68,0.58,0.55,0.46
0.57,0.45,0.67,0.59,0.55,0.45
0.57,0.44,0.65,0.60,0.55,0.44
0.56,0.42,0.62,0.61,0.55,0.43
0.56,0.42,0.62,0.61,0.55,0.43
0.55,0.41,0.59,0.62,0.56,0.43
0.53,0.41,0.56,0.63,0.56,0.42
0.52,0.41,0.54,0.63,0.56,0.42
0.50,0.41,0.52,0.64,0.56,0.41
0.49,0.41,0.50,0.64,0.56,0.41
0.49,0.41,0.50,0.64,0.54,0.41
0.47,0.41,0.49,0.63,0.52,0.41
0.46,0.41,0.48,0.63,0.50,0.40
0.45,0.42,0.48,0.62,0.49,0.40
0.44,0.43,0.48,0.61,0.48,0.40
0.44,0.43,0.48,0.61,0.48,0.40
0.44,0.43,0.48,0.61,0.48,0.40
0.43,0.43,0.47,0.60,0.48,0.40
0.42,0.44,0.47,0.60,0.49,0.40
0.41,0.44,0.46,0.59,0.50,0.40
0.39,0.44,0.46,0.59,0.51,0.41
0.38,0.44,0.45,0.59,0.51,0.41
0.38,0.44,0.45,0.58,0.51,0.42
0.36,0.45,0.44,0.57,0.52,0.43
0.35,0.45,0.44,0.57,0.52,0.43
0.34,0.46,0.44,0.56,0.52,0.44
0.33,0.46,0.43,0.55,0.51,0.46
0.33,0.47,0.44,0.55,0.51,0.46
0.33,0.47,0.44,0.54,0.51,0.47
0.33,0.47,0.44,0.54,0.50,0.48
0.34,0.47,0.44,0.53,0.50,0.49
0.35,0.47,0.45,0.52,0.49,0.50
0.36,0.47,0.46,0.51,0.49,0.51
0.37,0.47,0.46,0.51,0.49,0.51
