aX,aY,aZ,gX,gY,gZ
0.53,0.49,0.57,0.46,0.49,0.59
0.53,0.49,0.57,0.47,0.48,0.58
0.53,0.49,0.57,0.47,0.48,0.58
0.53,0.49,0.57,0.47,0.48,0.57
0.53,0.50,0.57,0.48,0.48,0.56
0.53,0.50,0.57,0.48,0.49,0.56
0.53,0.51,0.57,0.48,0.49,0.56
0.53,0.51,0.57,0.48,0.49,0.56
0.53,0.51,0.57,0.48,0.49,0.55
0.53,0.51,0.58,0.48,0.49,0.55
0.53,0.51,0.58,0.48,0.49,0.55
0.53,0.52,0.58,0.48,0.49,0.55
0.54,0.51,0.58,0.48,0.49,0.55
0.54,0.51,0.58,0.49,0.49,0.55
0.54,0.51,0.58,0.49,0.49,0.54
0.54,0.51,0.58,0.49,0.49,0.54
0.54,0.52,0.58,0.49,0.49,0.54
0.54,0.52,0.57,0.49,0.49,0.53
0.54,0.52,0.57,0.49,0.49,0.53
0.54,0.52,0.57,0.50,0.49,0.53
0.54,0.52,0.57,0.50,0.49,0.53
0.53,0.52,0.57,0.50,0.49,0.52
0.53,0.52,0.57,0.50,0.49,0.52
0.52,0.52,0.57,0.50,0.50,0.52
0.52,0.52,0.57,0.50,0.50,0.52
0.52,0.52,0.57,0.50,0.50,0.52
0.52,0.52,0.57,0.50,0.50,0.52
0.53,0.52,0.57,0.50,0.50,0.52

0.55,0.51,0.61,0.49,0.56,0.50
0.55,0.51,0.62,0.49,0.56,0.50
0.56,0.51,0.64,0.49,0.56,0.50
0.57,0.51,0.66,0.50,0.55,0.49
0.58,0.51,0.67,0.50,0.55,0.49
0.58,0.51,0.67,0.50,0.55,0.49
0.61,0.50,0.70,0.51,0.54,0.48
0.63,0.49,0.70,0.53,0.53,0.48
0.65,0.48,0.69,0.54,0.54,0.46
0.65,0.47,0.68,0.56,0.55,0.45
0.65,0.45,0.66,0.57,0.54,0.43
0.65,0.45,0.66,0.57,0.54,0.43
0.64,0.43,0.64,0.58,0.54,0.42
0.63,0.42,0.61,0.59,0.54,0.40
0.60,0.40,0.59,0.60,0.54,0.39
0.56,0.38,0.56,0.60,0.54,0.37
0.53,0.37,0.54,0.61,0.54,0.36
0.53,0.37,0.54,0.61,0.54,0.36
0.49,0.37,0.52,0.61,0.53,0.36
0.46,0.37,0.51,0.60,0.52,0.35
0.43,0.37,0.50,0.60,0.51,0.35
0.40,0.38,0.49,0.60,0.50,0.35
0.38,0.38,0.49,0.59,0.49,0.36
0.38,0.38,0.49,0.59,0.49,0.36
0.35,0.39,0.48,0.59,0.49,0.36
0.33,0.40,0.47,0.59,0.50,0.37
0.30,0.41,0.46,0.58,0.50,0.38
0.29,0.42,0.45,0.58,0.50,0.40
0.27,0.43,0.43,0.57,0.51,0.41
0.27,0.43,0.43,0.57,0.51,0.41
0.26,0.44,0.42,0.56,0.51,0.43
0.25,0.45,0.41,0.55,0.50,0.45
0.26,0.46,0.41,0.54,0.50,0.47
0.27,0.46,0.41,0.53,0.49,0.49
0.29,0.46,0.42,0.53,0.49,0.49
0.29,0.46,0.42,0.52,0.49,0.51
0.32,0.46,0.43,0.51,0.49,0.52
0.34,0.46,0.44,0.50,0.48,0.53
0.36,0.46,0.45,0.49,0.48,0.54
0.38,0.46,0.46,0.49,0.48,0.55
0.40,0.46,0.47,0.49,0.48,0.55
0.40,0.46,0.47,0.48,0.48,0.55
0.41,0.46,0.48,0.48,0.48,0.56
0.42,0.46,0.49,0.47,0.48,0.56
0.43,0.46,0.50,0.47,0.48,0.56
0.44,0.46,0.51,0.46,0.48,0.56
0.45,0.47,0.52,0.46,0.48,0.56
0.45,0.47,0.52,0.46,0.48,0.57
0.46,0.47,0.53,0.46,0.48,0.57
0.46,0.47,0.54,0.46,0.48,0.57
0.47,0.48,0.54,0.46,0.48,0.57
0.47,0.48,0.55,0.46,0.48,0.57
0.48,0.48,0.55,0.46,0.48,0.57
0.48,0.48,0.55,0.46,0.48,0.57
0.48,0.49,0.55,0.46,0.48,0.57
0.48,0.49,0.55,0.47,0.48,0.56
0.48,0.49,0.55,0.47,0.47,0.56
0.49,0.50,0.55,0.47,0.47,0.56
0.49,0.50,0.55,0.47,0.47,0.56
0.49,0.50,0.55,0.47,0.47,0.56
0.50,0.50,0.55,0.47,0.47,0.56
0.50,0.50,0.56,0.47,0.47,0.56
0.50,0.50,0.56,0.47,0.47,0.56
0.51,0.50,0.57,0.47,0.47,0.56
0.51,0.50,0.57,0.47,0.47,0.56
0.51,0.51,0.57,0.47,0.47,0.56
0.52,0.51,0.57,0.47,0.47,0.56
0.52,0.51,0.57,0.47,0.47,0.55
0.52,0.51,0.57,0.47,0.47,0.55
0.52,0.51,0.57,0.48,0.47,0.55
0.52,0.51,0.57,0.48,0.47,0.55
0.52,0.51,0.57,0.48,0.47,0.55
0.52,0.51,0.57,0.48,0.47,0.55
0.52,0.51,0.57,0.48,0.47,0.54
0.52,0.51,0.57,0.48,0.47,0.54
0.53,0.51,0.58,0.48,0.47,0.54
0.53,0.51,0.58,0.48,0.47,0.54
0.53,0.51,0.58,0.48,0.47,0.54
0.53,0.51,0.58,0.48,0.47,0.54
0.53,0.51,0.58,0.48,0.47,0.54

0.54,0.51,0.60,0.50,0.54,0.51
0.55,0.51,0.61,0.50,0.54,0.51
0.56,0.51,0.61,0.50,0.53,0.50
0.57,0.51,0.63,0.50,0.53,0.50
0.58,0.51,0.64,0.50,0.53,0.50
0.58,0.51,0.64,0.51,0.52,0.50
0.59,0.51,0.65,0.51,0.51,0.49
0.62,0.50,0.67,0.52,0.50,0.48
0.64,0.49,0.67,0.53,0.50,0.47
0.65,0.49,0.66,0.54,0.51,0.46
0.65,0.49,0.66,0.54,0.51,0.46
0.65,0.48,0.66,0.55,0.51,0.44
0.65,0.47,0.64,0.56,0.51,0.43
0.65,0.45,0.62,0.57,0.51,0.42
0.64,0.43,0.60,0.57,0.51,0.40
0.62,0.42,0.58,0.58,0.51,0.39
0.62,0.42,0.58,0.58,0.51,0.39
0.59,0.40,0.56,0.58,0.51,0.37
0.56,0.39,0.55,0.58,0.51,0.36
0.53,0.38,0.54,0.58,0.50,0.35
0.50,0.38,0.53,0.58,0.50,0.34
0.47,0.38,0.53,0.58,0.49,0.34
0.47,0.38,0.53,0.58,0.49,0.34
0.45,0.39,0.52,0.57,0.49,0.34
0.43,0.39,0.51,0.57,0.49,0.34
0.41,0.40,0.51,0.56,0.50,0.34
0.38,0.40,0.50,0.56,0.51,0.35
0.36,0.41,0.48,0.56,0.52,0.36
0.36,0.41,0.48,0.56,0.52,0.36
0.34,0.41,0.48,0.56,0.53,0.36
0.31,0.43,0.46,0.55,0.52,0.38
0.29,0.44,0.46,0.55,0.52,0.39
0.28,0.45,0.45,0.54,0.51,0.41
0.27,0.46,0.46,0.53,0.50,0.43
0.27,0.46,0.46,0.53,0.50,0.43
0.27,0.47,0.47,0.52,0.49,0.45
0.28,0.47,0.48,0.51,0.49,0.47
0.30,0.47,0.49,0.51,0.49,0.48
0.32,0.47,0.49,0.50,0.48,0.50
0.34,0.47,0.50,0.50,0.48,0.51
0.34,0.47,0.50,0.50,0.48,0.51
0.36,0.47,0.50,0.50,0.48,0.52
0.38,0.47,0.50,0.50,0.48,0.53
0.39,0.47,0.50,0.49,0.48,0.53
0.41,0.47,0.50,0.49,0.48,0.54
0.42,0.47,0.51,0.49,0.48,0.54
0.42,0.47,0.51,0.49,0.48,0.54
0.42,0.47,0.51,0.48,0.48,0.54
0.43,0.47,0.52,0.48,0.48,0.55
0.44,0.47,0.52,0.48,0.48,0.55
0.45,0.48,0.52,0.48,0.48,0.55
0.45,0.48,0.53,0.48,0.48,0.55
0.45,0.48,0.53,0.48,0.48,0.55
0.46,0.48,0.53,0.47,0.48,0.55
0.46,0.48,0.53,0.47,0.48,0.55
0.46,0.48,0.54,0.47,0.48,0.55
0.46,0.48,0.54,0.47,0.48,0.55
0.46,0.49,0.54,0.47,0.48,0.55
0.46,0.49,0.54,0.47,0.48,0.55
0.47,0.49,0.55,0.47,0.48,0.55
0.47,0.49,0.55,0.47,0.48,0.55
0.47,0.49,0.55,0.47,0.48,0.55
0.47,0.49,0.55,0.47,0.48,0.56
0.47,0.49,0.55,0.47,0.48,0.56
0.47,0.49,0.55,0.47,0.48,0.56
0.47,0.49,0.55,0.47,0.48,0.56
0.47,0.50,0.56,0.47,0.48,0.56
0.48,0.50,0.56,0.47,0.48,0.56
0.48,0.50,0.56,0.47,0.48,0.56
0.49,0.50,0.57,0.47,0.47,0.56
0.49,0.50,0.57,0.47,0.47,0.56
0.49,0.50,0.57,0.47,0.48,0.56
0.50,0.50,0.57,0.47,0.48,0.56
0.50,0.50,0.57,0.48,0.48,0.56
0.50,0.50,0.57,0.48,0.48,0.56
0.51,0.50,0.57,0.48,0.48,0.56
0.51,0.50,0.57,0.48,0.48,0.56
0.51,0.50,0.57,0.48,0.48,0.56
0.51,0.50,0.57,0.48,0.48,0.56
0.52,0.50,0.57,0.48,0.48,0.56

0.56,0.51,0.59,0.49,0.51,0.49
0.57,0.51,0.60,0.49,0.51,0.49
0.58,0.51,0.61,0.50,0.50,0.48
0.59,0.50,0.62,0.50,0.50,0.48
0.59,0.50,0.62,0.50,0.50,0.48
0.61,0.50,0.63,0.50,0.49,0.47
0.62,0.50,0.64,0.51,0.49,0.46
0.64,0.49,0.65,0.51,0.49,0.45
0.64,0.47,0.65,0.52,0.49,0.44
0.63,0.46,0.65,0.53,0.49,0.42
0.63,0.46,0.65,0.53,0.49,0.42
0.61,0.45,0.64,0.54,0.48,0.41
0.59,0.44,0.64,0.54,0.48,0.39
0.56,0.43,0.63,0.55,0.47,0.38
0.54,0.42,0.62,0.55,0.48,0.38
0.51,0.41,0.61,0.55,0.48,0.37
0.51,0.41,0.61,0.55,0.48,0.37
0.48,0.41,0.60,0.56,0.48,0.37
0.45,0.42,0.59,0.56,0.49,0.37
0.43,0.42,0.58,0.56,0.49,0.37
0.41,0.43,0.57,0.56,0.50,0.38
0.39,0.44,0.55,0.56,0.49,0.38
0.39,0.44,0.55,0.56,0.49,0.38
0.38,0.45,0.54,0.56,0.50,0.39
0.37,0.46,0.53,0.56,0.50,0.40
0.36,0.47,0.52,0.56,0.49,0.41
0.35,0.47,0.51,0.55,0.49,0.43
0.35,0.48,0.51,0.55,0.49,0.44
0.35,0.48,0.51,0.55,0.49,0.44
0.35,0.49,0.50,0.54,0.49,0.45
0.35,0.49,0.50,0.54,0.49,0.46
0.36,0.49,0.50,0.53,0.49,0.48
0.37,0.50,0.50,0.53,0.49,0.49
0.38,0.50,0.50,0.52,0.49,0.50
0.38,0.50,0.50,0.52,0.49,0.50
0.40,0.50,0.50,0.52,0.49,0.50
0.41,0.50,0.51,0.51,0.49,0.51
0.42,0.50,0.51,0.51,0.49,0.51
0.43,0.50,0.51,0.51,0.49,0.52
0.44,0.50,0.51,0.50,0.49,0.52
0.44,0.50,0.51,0.50,0.49,0.52
0.45,0.50,0.51,0.50,0.49,0.52
0.45,0.51,0.51,0.50,0.49,0.53
0.46,0.51,0.52,0.49,0.49,0.53
0.47,0.51,0.52,0.49,0.49,0.53
0.48,0.51,0.53,0.49,0.49,0.53
0.48,0.51,0.53,0.49,0.49,0.53
0.48,0.51,0.53,0.49,0.50,0.53
0.49,0.51,0.53,0.48,0.50,0.53
0.49,0.51,0.54,0.48,0.50,0.53
0.49,0.51,0.54,0.48,0.50,0.53
0.49,0.51,0.55,0.48,0.50,0.53
0.49,0.51,0.55,0.48,0.50,0.53
0.49,0.51,0.55,0.48,0.50,0.53
0.49,0.51,0.55,0.48,0.50,0.53
0.49,0.51,0.55,0.48,0.50,0.52
0.49,0.51,0.55,0.49,0.50,0.52
0.48,0.51,0.55,0.49,0.50,0.52
0.48,0.51,0.55,0.49,0.50,0.52
0.48,0.51,0.55,0.49,0.50,0.52
0.48,0.51,0.55,0.49,0.50,0.52
0.48,0.52,0.55,0.49,0.50,0.53
0.48,0.52,0.55,0.49,0.50,0.53
0.49,0.52,0.55,0.49,0.50,0.53
0.49,0.52,0.55,0.49,0.50,0.53
0.49,0.51,0.55,0.49,0.50,0.53
0.49,0.51,0.55,0.49,0.50,0.53
0.49,0.52,0.55,0.48,0.50,0.53
0.49,0.51,0.55,0.48,0.50,0.53
0.49,0.51,0.55,0.48,0.50,0.53
0.49,0.51,0.55,0.48,0.50,0.53
0.49,0.52,0.56,0.48,0.50,0.53
0.50,0.51,0.56,0.48,0.50,0.53
0.50,0.51,0.56,0.48,0.50,0.53
0.50,0.51,0.56,0.48,0.50,0.53
0.50,0.51,0.57,0.48,0.50,0.53
0.50,0.51,0.57,0.48,0.50,0.53
0.51,0.51,0.57,0.48,0.50,0.53
0.51,0.51,0.57,0.48,0.50,0.53
0.51,0.51,0.57,0.48,0.50,0.53

0.57,0.51,0.57,0.50,0.51,0.49
